year,champion,runner_up,score,sets,tiebreak
1991,Michael Stich,Boris Becker,"6-4, 7-6(7-4), 6-4",3,1
1992,Andre Agassi,Goran Ivanišević,"6-7(8-10), 6-4, 6-4, 1-6, 6-4",5,1
1993,Pete Sampras,Jim Courier,"7-6(7-3), 7-6(8-6), 3-6, 6-3",4,1
1994,Pete Sampras,Goran Ivanišević,"7-6(7-2), 7-6(7-5), 6-0",3,1
1995,Pete Sampras,Boris Becker,"6-7(5-7), 6-2, 6-4, 6-2",4,1
1996,Richard Krajicek,MaliVai Washington,"6-3, 6-4, 6-3",3,0
1997,Pete Sampras,Cédric Pioline,"6-4, 6-2, 6-4",3,0
1998,Pete Sampras,Goran Ivanišević,"6-7(2-7), 7-6(11-9), 6-4, 3-6, 6-2",5,1
1999,Pete Sampras,Andre Agassi,"6-3, 6-4, 7-5",3,0
2000,Pete Sampras,Patrick Rafter,"6-7(10-12), 7-6(7-5), 6-4, 6-2",4,1
2001,Goran Ivanišević,Patrick Rafter,"6-3, 3-6, 6-3, 2-6, 9-7",5,0
2002,Lleyton Hewitt,David Nalbandian,"6-1, 6-3, 6-2",3,0
2003,Roger Federer,Mark Philippoussis,"7-6(7-5), 6-2, 7-6(7-3)",3,1
2004,Roger Federer,Andy Roddick,"4-6, 7-5, 7-6(7-3), 6-4",4,1
2005,Roger Federer,Andy Roddick,"6-2, 7-6(7-2), 6-4",3,1
2006,Roger Federer,Rafael Nadal,"6-0, 7-6(7-5), 6-7(2-7), 6-3",4,1
2007,Roger Federer,Rafael Nadal,"7-6(9-7), 4-6, 7-6(7-3), 2-6, 6-2",5,1
2008,Rafael Nadal,Roger Federer,"6-4, 6-4, 6-7(5-7), 6-7(8-10), 9-7",5,1
2009,Roger Federer,Andy Roddick,"5-7, 7-6(8-6), 7-6(7-5), 3-6, 16-14",5,1
2010,Rafael Nadal,Tomáš Berdych,"6-3, 7-5, 6-4",3,0
2011,Novak Djokovic,Rafael Nadal,"6-4, 6-1, 1-6, 6-3",4,0
2012,Roger Federer,Andy Murray,"4-6, 7-5, 6-3, 6-4",4,0
